2018-09-24 18:23:49.639  INFO 70691 --- [SimpleAsyncTaskExecutor-2] c.e.l.controller.LatencyController       : datacenter1	datacenter2	latency	bandwidth
2018-09-24 18:23:49.640  INFO 70691 --- [SimpleAsyncTaskExecutor-2] c.e.l.controller.LatencyController       : eu-west-1	eu-west-3	303.3333333333333	1272.0
2018-09-24 18:23:49.640  INFO 70691 --- [SimpleAsyncTaskExecutor-2] c.e.l.controller.LatencyController       : eu-west-2	ap-south-1	879.6666666666667	861.8333333333334
2018-09-24 18:23:49.640  INFO 70691 --- [SimpleAsyncTaskExecutor-2] c.e.l.controller.LatencyController       : eu-west-1	eu-west-2	1455.1666666666667	1112.6666666666667
2018-09-24 18:23:49.640  INFO 70691 --- [SimpleAsyncTaskExecutor-2] c.e.l.controller.LatencyController       : eu-west-3	ap-northeast-3	1220.111111111111	1059.111111111111
2018-09-24 18:23:49.640  INFO 70691 --- [SimpleAsyncTaskExecutor-2] c.e.l.controller.LatencyController       : ca-central-1	sa-east-1	1412.3333333333333	578.0
2018-09-24 18:23:49.640  INFO 70691 --- [SimpleAsyncTaskExecutor-2] c.e.l.controller.LatencyController       : eu-west-3	ap-northeast-2	799.1428571428571	1226.8095238095236
2018-09-24 18:23:49.640  INFO 70691 --- [SimpleAsyncTaskExecutor-2] c.e.l.controller.LatencyController       : ap-south-1	Central-US	926.3333333333334	618.1666666666667
2018-09-24 18:23:49.640  INFO 70691 --- [SimpleAsyncTaskExecutor-2] c.e.l.controller.LatencyController       : eu-west-3	ap-northeast-1	1191.9111111111113	1317.977777777778
2018-09-24 18:23:49.641  INFO 70691 --- [SimpleAsyncTaskExecutor-2] c.e.l.controller.LatencyController       : eu-west-2	Central-US	816.4444444444446	1157.488888888889
2018-09-24 18:23:49.641  INFO 70691 --- [SimpleAsyncTaskExecutor-2] c.e.l.controller.LatencyController       : ca-central-1	East-US	745.095238095238	1266.1904761904764
2018-09-24 18:23:49.641  INFO 70691 --- [SimpleAsyncTaskExecutor-2] c.e.l.controller.LatencyController       : us-west-1	Central-US	636.4666666666666	1317.6666666666667
2018-09-24 18:23:49.641  INFO 70691 --- [SimpleAsyncTaskExecutor-2] c.e.l.controller.LatencyController       : ap-northeast-1	East-US-2	1166.3809523809525	876.3333333333333
2018-09-24 18:23:49.641  INFO 70691 --- [SimpleAsyncTaskExecutor-2] c.e.l.controller.LatencyController       : ap-northeast-3	ap-southeast-2	1042.5833333333333	1005.9722222222222
2018-09-24 18:23:49.641  INFO 70691 --- [SimpleAsyncTaskExecutor-2] c.e.l.controller.LatencyController       : ap-northeast-3	ap-southeast-1	1302.8	546.0
